model,game_id,treatment_loss_prob,language,personality_condition,framing,n_players,n_rounds,endowment,target,group_total,reached_target,loss_triggered,random_draw,round_totals,agent1_personality,agent1_contributions,agent1_total,agent1_savings,agent1_payoff,agent1_parse_fallbacks,agent2_personality,agent2_contributions,agent2_total,agent2_savings,agent2_payoff,agent2_parse_fallbacks,agent3_personality,agent3_contributions,agent3_total,agent3_savings,agent3_payoff,agent3_parse_fallbacks,agent4_personality,agent4_contributions,agent4_total,agent4_savings,agent4_payoff,agent4_parse_fallbacks,agent5_personality,agent5_contributions,agent5_total,agent5_savings,agent5_payoff,agent5_parse_fallbacks,agent6_personality,agent6_contributions,agent6_total,agent6_savings,agent6_payoff,agent6_parse_fallbacks
qwen25-7b-instruct,p10_climate_en_neutral_0,10,en,neutral,climate,6,10,40,120,166,True,False,0.008872,"[14, 14, 16, 18, 22, 20, 20, 14, 14, 14]",none,"[2, 2, 4, 4, 4, 4, 4, 4, 4, 2]",34,6,6,0,none,"[2, 4, 2, 2, 4, 4, 4, 0, 2, 0]",24,16,16,0,none,"[4, 2, 2, 2, 4, 4, 4, 2, 0, 2]",26,14,14,0,none,"[2, 2, 2, 4, 4, 2, 2, 4, 4, 4]",30,10,10,0,none,"[2, 2, 4, 2, 2, 2, 2, 0, 0, 2]",18,22,22,0,none,"[2, 2, 2, 4, 4, 4, 4, 4, 4, 4]",34,6,6,0
qwen25-7b-instruct,p10_climate_en_neutral_1,10,en,neutral,climate,6,10,40,120,190,True,False,0.673093,"[14, 18, 16, 22, 24, 24, 20, 20, 12, 20]",none,"[2, 4, 4, 2, 4, 4, 4, 2, 0, 4]",30,10,10,0,none,"[4, 2, 2, 4, 4, 4, 0, 2, 4, 4]",30,10,10,0,none,"[2, 4, 2, 4, 4, 4, 4, 4, 0, 4]",32,8,8,0,none,"[2, 4, 4, 4, 4, 4, 4, 4, 4, 0]",34,6,6,0,none,"[2, 2, 2, 4, 4, 4, 4, 4, 0, 4]",30,10,10,0,none,"[2, 2, 2, 4, 4, 4, 4, 4, 4, 4]",34,6,6,0
qwen25-7b-instruct,p10_climate_en_neutral_2,10,en,neutral,climate,6,10,40,120,170,True,False,0.366879,"[14, 16, 18, 20, 24, 18, 24, 12, 14, 10]",none,"[2, 2, 2, 4, 4, 4, 4, 0, 4, 4]",30,10,10,0,none,"[2, 2, 4, 4, 4, 2, 4, 0, 4, 2]",28,12,12,0,none,"[4, 4, 4, 4, 4, 0, 4, 4, 0, 0]",28,12,12,0,none,"[2, 4, 2, 2, 4, 4, 4, 0, 2, 0]",24,16,16,0,none,"[2, 2, 2, 2, 4, 4, 4, 4, 4, 4]",32,8,8,0,none,"[2, 2, 4, 4, 4, 4, 4, 4, 0, 0]",28,12,12,0
qwen25-7b-instruct,p10_climate_en_neutral_3,10,en,neutral,climate,6,10,40,120,188,True,False,0.283822,"[14, 18, 18, 20, 24, 16, 20, 18, 22, 18]",none,"[2, 4, 2, 4, 4, 2, 2, 2, 2, 2]",26,14,14,0,none,"[4, 2, 2, 4, 4, 2, 4, 4, 4, 2]",32,8,8,0,none,"[2, 4, 4, 2, 4, 4, 4, 0, 4, 4]",32,8,8,0,none,"[2, 2, 4, 2, 4, 4, 4, 4, 4, 2]",32,8,8,0,none,"[2, 2, 4, 4, 4, 0, 2, 4, 4, 4]",30,10,10,0,none,"[2, 4, 2, 4, 4, 4, 4, 4, 4, 4]",36,4,4,0
qwen25-7b-instruct,p10_climate_en_neutral_4,10,en,neutral,climate,6,10,40,120,176,True,False,0.194193,"[14, 22, 20, 18, 18, 20, 16, 12, 22, 14]",none,"[2, 4, 2, 2, 2, 2, 4, 4, 4, 0]",26,14,14,0,none,"[2, 4, 4, 4, 4, 2, 2, 0, 2, 4]",28,12,12,0,none,"[2, 4, 4, 4, 2, 4, 2, 2, 4, 2]",30,10,10,0,none,"[4, 2, 4, 2, 4, 4, 4, 2, 4, 0]",30,10,10,0,none,"[2, 4, 2, 4, 2, 4, 0, 0, 4, 4]",26,14,14,0,none,"[2, 4, 4, 2, 4, 4, 4, 4, 4, 4]",36,4,4,0
qwen25-7b-instruct,p10_climate_en_neutral_5,10,en,neutral,climate,6,10,40,120,184,True,False,0.386353,"[16, 18, 18, 22, 18, 22, 22, 22, 10, 16]",none,"[2, 2, 2, 4, 4, 4, 4, 4, 0, 4]",30,10,10,0,none,"[4, 2, 2, 4, 2, 2, 4, 4, 2, 4]",30,10,10,0,none,"[2, 4, 4, 2, 4, 4, 4, 4, 4, 0]",32,8,8,0,none,"[2, 2, 2, 4, 2, 4, 2, 2, 4, 0]",24,16,16,0,none,"[4, 4, 4, 4, 2, 4, 4, 4, 0, 4]",34,6,6,0,none,"[2, 4, 4, 4, 4, 4, 4, 4, 0, 4]",34,6,6,0
qwen25-7b-instruct,p10_climate_en_neutral_6,10,en,neutral,climate,6,10,40,120,188,True,False,0.158342,"[14, 16, 20, 24, 20, 20, 16, 18, 22, 18]",none,"[2, 2, 4, 4, 4, 4, 4, 2, 4, 4]",34,6,6,0,none,"[2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",38,2,2,0,none,"[2, 2, 4, 4, 4, 4, 0, 4, 4, 4]",32,8,8,0,none,"[4, 2, 2, 4, 2, 4, 2, 4, 2, 0]",26,14,14,0,none,"[2, 2, 2, 4, 4, 2, 2, 0, 4, 2]",24,16,16,0,none,"[2, 4, 4, 4, 2, 2, 4, 4, 4, 4]",34,6,6,0
qwen25-7b-instruct,p10_climate_en_neutral_7,10,en,neutral,climate,6,10,40,120,176,True,False,0.413571,"[14, 18, 20, 20, 22, 20, 20, 18, 20, 4]",none,"[2, 4, 2, 2, 4, 4, 2, 4, 4, 0]",28,12,12,0,none,"[4, 2, 4, 2, 2, 2, 4, 2, 2, 2]",26,14,14,0,none,"[2, 2, 4, 4, 4, 4, 4, 4, 4, 0]",32,8,8,0,none,"[2, 4, 4, 4, 4, 4, 4, 4, 4, 0]",34,6,6,0,none,"[2, 2, 2, 4, 4, 4, 2, 2, 4, 2]",28,12,12,0,none,"[2, 4, 4, 4, 4, 2, 4, 2, 2, 0]",28,12,12,0
qwen25-7b-instruct,p10_climate_en_neutral_8,10,en,neutral,climate,6,10,40,120,180,True,False,0.06251,"[12, 16, 14, 22, 18, 20, 20, 22, 16, 20]",none,"[2, 2, 2, 4, 4, 4, 2, 4, 4, 0]",28,12,12,0,none,"[2, 2, 2, 2, 2, 4, 4, 2, 2, 4]",26,14,14,0,none,"[2, 2, 2, 4, 4, 4, 4, 4, 2, 4]",32,8,8,0,none,"[2, 4, 2, 4, 4, 2, 2, 4, 4, 4]",32,8,8,0,none,"[2, 2, 2, 4, 2, 4, 4, 4, 4, 4]",32,8,8,0,none,"[2, 4, 4, 4, 2, 2, 4, 4, 0, 4]",30,10,10,0
qwen25-7b-instruct,p10_climate_en_neutral_9,10,en,neutral,climate,6,10,40,120,192,True,False,0.763193,"[14, 16, 22, 20, 24, 18, 20, 14, 20, 24]",none,"[2, 2, 2, 4, 4, 4, 4, 2, 2, 4]",30,10,10,0,none,"[4, 4, 4, 4, 4, 2, 4, 4, 4, 4]",38,2,2,0,none,"[2, 4, 4, 4, 4, 4, 4, 0, 4, 4]",34,6,6,0,none,"[2, 2, 4, 4, 4, 4, 4, 0, 4, 4]",32,8,8,0,none,"[2, 2, 4, 2, 4, 4, 4, 4, 2, 4]",32,8,8,0,none,"[2, 2, 4, 2, 4, 0, 0, 4, 4, 4]",26,14,14,0
qwen25-7b-instruct,p10_climate_en_cooperative_0,10,en,cooperative,climate,6,10,40,120,206,True,False,0.627657,"[18, 18, 20, 22, 24, 24, 18, 22, 22, 18]",cooperative,"[2, 4, 4, 4, 4, 4, 4, 4, 2, 0]",32,8,8,0,cooperative,"[2, 4, 4, 4, 4, 4, 2, 4, 4, 4]",36,4,4,0,cooperative,"[4, 2, 2, 4, 4, 4, 4, 2, 4, 4]",34,6,6,0,cooperative,"[2, 4, 4, 4, 4, 4, 0, 4, 4, 2]",32,8,8,0,cooperative,"[4, 2, 2, 2, 4, 4, 4, 4, 4, 4]",34,6,6,0,cooperative,"[4, 2, 4, 4, 4, 4, 4, 4, 4, 4]",38,2,2,0
qwen25-7b-instruct,p10_climate_en_cooperative_1,10,en,cooperative,climate,6,10,40,120,198,True,False,0.728915,"[18, 20, 22, 24, 20, 24, 22, 14, 22, 12]",cooperative,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 0]",36,4,4,0,cooperative,"[2, 4, 4, 4, 0, 4, 4, 4, 4, 4]",34,6,6,0,cooperative,"[2, 4, 4, 4, 4, 4, 4, 2, 4, 4]",36,4,4,0,cooperative,"[4, 4, 4, 4, 4, 4, 4, 0, 2, 0]",30,10,10,0,cooperative,"[2, 2, 2, 4, 4, 4, 4, 4, 4, 0]",30,10,10,0,cooperative,"[4, 2, 4, 4, 4, 4, 2, 0, 4, 4]",32,8,8,0
qwen25-7b-instruct,p10_climate_en_cooperative_2,10,en,cooperative,climate,6,10,40,120,214,True,False,0.62516,"[18, 20, 22, 24, 22, 24, 24, 20, 18, 22]",cooperative,"[2, 4, 4, 4, 2, 4, 4, 4, 0, 2]",30,10,10,0,cooperative,"[2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",38,2,2,0,cooperative,"[4, 2, 4, 4, 4, 4, 4, 0, 2, 4]",32,8,8,0,cooperative,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",40,0,0,0,cooperative,"[2, 2, 2, 4, 4, 4, 4, 4, 4, 4]",34,6,6,0,cooperative,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",40,0,0,0
qwen25-7b-instruct,p10_climate_en_cooperative_3,10,en,cooperative,climate,6,10,40,120,216,True,False,0.765408,"[20, 22, 24, 24, 24, 16, 22, 22, 24, 18]",cooperative,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",40,0,0,0,cooperative,"[2, 4, 4, 4, 4, 0, 2, 4, 4, 0]",28,12,12,0,cooperative,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",40,0,0,0,cooperative,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",40,0,0,0,cooperative,"[4, 4, 4, 4, 4, 0, 4, 2, 4, 2]",32,8,8,0,cooperative,"[2, 2, 4, 4, 4, 4, 4, 4, 4, 4]",36,4,4,0
qwen25-7b-instruct,p10_climate_en_cooperative_4,10,en,cooperative,climate,6,10,40,120,210,True,False,0.633219,"[18, 18, 20, 20, 24, 24, 20, 22, 24, 20]",cooperative,"[2, 2, 4, 4, 4, 4, 4, 4, 4, 4]",36,4,4,0,cooperative,"[2, 2, 2, 4, 4, 4, 0, 4, 4, 4]",30,10,10,0,cooperative,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 0]",36,4,4,0,cooperative,"[2, 2, 2, 2, 4, 4, 4, 2, 4, 4]",30,10,10,0,cooperative,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",40,0,0,0,cooperative,"[4, 4, 4, 2, 4, 4, 4, 4, 4, 4]",38,2,2,0
qwen25-7b-instruct,p10_climate_en_cooperative_5,10,en,cooperative,climate,6,10,40,120,204,True,False,0.172699,"[18, 24, 20, 22, 20, 24, 12, 24, 24, 16]",cooperative,"[2, 4, 4, 4, 2, 4, 4, 4, 4, 4]",36,4,4,0,cooperative,"[4, 4, 4, 2, 4, 4, 0, 4, 4, 0]",30,10,10,0,cooperative,"[4, 4, 4, 4, 4, 4, 0, 4, 4, 0]",32,8,8,0,cooperative,"[2, 4, 2, 4, 2, 4, 4, 4, 4, 4]",34,6,6,0,cooperative,"[4, 4, 2, 4, 4, 4, 0, 4, 4, 4]",34,6,6,0,cooperative,"[2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",38,2,2,0
qwen25-7b-instruct,p10_climate_en_cooperative_6,10,en,cooperative,climate,6,10,40,120,210,True,False,0.425223,"[20, 20, 24, 24, 24, 20, 20, 20, 20, 18]",cooperative,"[4, 4, 4, 4, 4, 4, 4, 4, 0, 4]",36,4,4,0,cooperative,"[4, 2, 4, 4, 4, 4, 4, 4, 4, 2]",36,4,4,0,cooperative,"[2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",38,2,2,0,cooperative,"[4, 4, 4, 4, 4, 4, 4, 0, 4, 4]",36,4,4,0,cooperative,"[4, 4, 4, 4, 4, 0, 0, 4, 4, 0]",28,12,12,0,cooperative,"[2, 2, 4, 4, 4, 4, 4, 4, 4, 4]",36,4,4,0
qwen25-7b-instruct,p10_climate_en_cooperative_7,10,en,cooperative,climate,6,10,40,120,196,True,False,0.243295,"[12, 14, 20, 18, 24, 24, 24, 20, 16, 24]",cooperative,"[2, 2, 2, 2, 4, 4, 4, 4, 4, 4]",32,8,8,0,cooperative,"[2, 2, 2, 4, 4, 4, 4, 0, 4, 4]",30,10,10,0,cooperative,"[2, 2, 4, 2, 4, 4, 4, 4, 4, 4]",34,6,6,0,cooperative,"[2, 2, 4, 4, 4, 4, 4, 4, 0, 4]",32,8,8,0,cooperative,"[2, 4, 4, 2, 4, 4, 4, 4, 4, 4]",36,4,4,0,cooperative,"[2, 2, 4, 4, 4, 4, 4, 4, 0, 4]",32,8,8,0
qwen25-7b-instruct,p10_climate_en_cooperative_8,10,en,cooperative,climate,6,10,40,120,214,True,False,0.497576,"[16, 18, 24, 22, 24, 22, 24, 22, 18, 24]",cooperative,"[2, 2, 4, 4, 4, 4, 4, 4, 4, 4]",36,4,4,0,cooperative,"[2, 2, 4, 4, 4, 2, 4, 4, 4, 4]",34,6,6,0,cooperative,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",40,0,0,0,cooperative,"[2, 2, 4, 4, 4, 4, 4, 4, 4, 4]",36,4,4,0,cooperative,"[2, 4, 4, 2, 4, 4, 4, 2, 2, 4]",32,8,8,0,cooperative,"[4, 4, 4, 4, 4, 4, 4, 4, 0, 4]",36,4,4,0
qwen25-7b-instruct,p10_climate_en_cooperative_9,10,en,cooperative,climate,6,10,40,120,218,True,False,0.256875,"[16, 24, 24, 24, 24, 24, 24, 20, 18, 20]",cooperative,"[2, 4, 4, 4, 4, 4, 4, 2, 4, 0]",32,8,8,0,cooperative,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",40,0,0,0,cooperative,"[2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",38,2,2,0,cooperative,"[2, 4, 4, 4, 4, 4, 4, 2, 2, 4]",34,6,6,0,cooperative,"[2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",38,2,2,0,cooperative,"[4, 4, 4, 4, 4, 4, 4, 4, 0, 4]",36,4,4,0
qwen25-7b-instruct,p10_climate_en_selfish_0,10,en,selfish,climate,6,10,40,120,46,False,False,0.29448,"[4, 6, 6, 4, 4, 4, 6, 2, 4, 6]",selfish,"[0, 0, 0, 0, 0, 2, 2, 0, 0, 0]",4,36,36,0,selfish,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",2,38,38,0,selfish,"[2, 4, 2, 0, 2, 2, 2, 0, 0, 0]",14,26,26,0,selfish,"[0, 0, 0, 2, 0, 0, 0, 2, 2, 4]",10,30,30,0,selfish,"[2, 0, 2, 2, 2, 0, 0, 0, 0, 2]",10,30,30,0,selfish,"[0, 2, 2, 0, 0, 0, 2, 0, 0, 0]",6,34,34,0
