model,game_id,treatment,language,personality_condition,society,n_players,n_periods,endowment,mpcr,mean_contribution,mean_contribution_by_period,antisocial_punishment_total,agent1_personality,agent1_contributions,agent1_total_contributed,agent1_total_earnings,agent1_contrib_fallbacks,agent1_punish_fallbacks,agent2_personality,agent2_contributions,agent2_total_contributed,agent2_total_earnings,agent2_contrib_fallbacks,agent2_punish_fallbacks,agent3_personality,agent3_contributions,agent3_total_contributed,agent3_total_earnings,agent3_contrib_fallbacks,agent3_punish_fallbacks,agent4_personality,agent4_contributions,agent4_total_contributed,agent4_total_earnings,agent4_contrib_fallbacks,agent4_punish_fallbacks
gemma2-9b-it,N_fr_neutral_0,N,fr,neutral,none,4,10,20,0.4,13.8,"[7.75, 12.0, 13.5, 14.25, 16.25, 14.75, 14.25, 14.5, 15.25, 15.5]",0.0,none,"[8, 8, 15, 15, 14, 16, 16, 10, 15, 12]",129,291.8,0,0,none,"[10, 10, 12, 18, 15, 20, 14, 17, 15, 16]",147,273.8,0,0,none,"[5, 15, 15, 12, 18, 15, 15, 16, 15, 16]",142,278.8,0,0,none,"[8, 15, 12, 12, 18, 8, 12, 15, 16, 18]",134,286.8,0,0
gemma2-9b-it,N_fr_neutral_1,N,fr,neutral,none,4,10,20,0.4,13.925,"[6.5, 12.25, 13.0, 16.25, 15.0, 16.5, 16.5, 16.0, 16.0, 11.25]",0.0,none,"[8, 15, 10, 15, 14, 15, 15, 18, 16, 16]",142,280.8,0,0,none,"[8, 12, 15, 18, 15, 18, 18, 16, 16, 12]",148,274.8,0,0,none,"[5, 7, 12, 15, 13, 15, 18, 15, 15, 17]",132,290.8,0,0,none,"[5, 15, 15, 17, 18, 18, 15, 15, 17, 0]",135,287.8,1,0
gemma2-9b-it,N_fr_neutral_2,N,fr,neutral,none,4,10,20,0.4,12.925,"[5.25, 9.75, 13.0, 15.0, 12.25, 14.75, 14.75, 14.0, 14.75, 15.75]",0.0,none,"[8, 10, 10, 12, 18, 15, 15, 18, 15, 15]",136,270.8,0,0,none,"[5, 9, 12, 18, 16, 14, 14, 16, 15, 18]",137,269.8,0,0,none,"[8, 10, 15, 18, 15, 20, 15, 12, 15, 15]",143,263.8,0,0,none,"[0, 10, 15, 12, 0, 10, 15, 10, 14, 15]",101,305.8,2,0
gemma2-9b-it,N_fr_neutral_3,N,fr,neutral,none,4,10,20,0.4,11.375,"[5.75, 13.0, 12.0, 11.25, 12.0, 12.25, 12.25, 10.0, 11.5, 13.75]",0.0,none,"[5, 12, 0, 10, 15, 12, 10, 15, 12, 18]",109,273.0,1,0,none,"[10, 15, 15, 17, 15, 10, 12, 15, 12, 10]",131,251.0,0,0,none,"[0, 10, 15, 18, 8, 12, 15, 10, 10, 15]",113,269.0,0,0,none,"[8, 15, 18, 0, 10, 15, 12, 0, 12, 12]",102,280.0,2,0
gemma2-9b-it,N_fr_neutral_4,N,fr,neutral,none,4,10,20,0.4,11.825,"[3.25, 6.75, 9.25, 13.25, 13.75, 14.25, 13.0, 13.5, 15.75, 15.5]",0.0,none,"[0, 5, 8, 10, 15, 12, 10, 15, 12, 18]",105,284.2,0,0,none,"[0, 5, 5, 18, 10, 15, 10, 12, 15, 12]",102,287.2,1,0,none,"[8, 10, 12, 15, 15, 12, 17, 15, 18, 17]",139,250.2,0,0,none,"[5, 7, 12, 10, 15, 18, 15, 12, 18, 15]",127,262.2,0,0
gemma2-9b-it,N_fr_neutral_5,N,fr,neutral,none,4,10,20,0.4,14.975,"[5.0, 13.75, 17.0, 16.25, 17.0, 16.5, 15.5, 15.75, 16.25, 16.75]",0.0,none,"[0, 10, 15, 18, 15, 18, 12, 15, 15, 15]",133,306.6,1,0,none,"[5, 15, 18, 17, 15, 18, 18, 18, 17, 17]",158,281.6,0,0,none,"[10, 15, 18, 15, 18, 15, 17, 12, 18, 20]",158,281.6,0,0,none,"[5, 15, 17, 15, 20, 15, 15, 18, 15, 15]",150,289.6,0,0
gemma2-9b-it,N_fr_neutral_6,N,fr,neutral,none,4,10,20,0.4,12.575,"[6.5, 8.5, 10.5, 13.5, 13.75, 14.75, 14.25, 14.25, 13.75, 16.0]",0.0,none,"[5, 7, 10, 12, 15, 18, 15, 14, 12, 20]",128,273.2,0,0,none,"[5, 12, 10, 15, 13, 15, 17, 15, 15, 14]",131,270.2,0,0,none,"[8, 15, 10, 15, 12, 13, 10, 18, 16, 15]",132,269.2,0,0,none,"[8, 0, 12, 12, 15, 13, 15, 10, 12, 15]",112,289.2,0,0
gemma2-9b-it,N_fr_neutral_7,N,fr,neutral,none,4,10,20,0.4,15.3,"[8.5, 10.5, 13.5, 16.75, 17.25, 16.25, 16.75, 18.0, 17.75, 17.75]",0.0,none,"[10, 8, 15, 16, 18, 18, 18, 18, 18, 16]",155,289.8,0,0,none,"[8, 9, 12, 16, 18, 15, 18, 18, 16, 17]",147,297.8,0,0,none,"[8, 15, 12, 17, 18, 17, 16, 18, 20, 18]",159,285.8,0,0,none,"[8, 10, 15, 18, 15, 15, 15, 18, 17, 20]",151,293.8,0,0
gemma2-9b-it,N_fr_neutral_8,N,fr,neutral,none,4,10,20,0.4,10.55,"[8.25, 10.5, 11.0, 12.25, 12.75, 13.0, 8.75, 10.0, 10.0, 9.0]",0.0,none,"[8, 12, 16, 12, 12, 15, 10, 0, 10, 12]",107,261.8,1,0,none,"[5, 15, 10, 12, 12, 12, 0, 10, 12, 12]",100,268.8,1,0,none,"[5, 15, 10, 15, 15, 15, 15, 18, 10, 0]",118,250.8,1,0,none,"[15, 0, 8, 10, 12, 10, 10, 12, 8, 12]",97,271.8,1,0
gemma2-9b-it,N_fr_neutral_9,N,fr,neutral,none,4,10,20,0.4,12.1,"[6.25, 11.5, 13.0, 13.5, 13.5, 11.25, 11.75, 13.75, 15.0, 11.5]",0.0,none,"[5, 15, 10, 15, 12, 15, 10, 20, 15, 12]",129,264.6,0,0,none,"[5, 8, 10, 12, 12, 15, 12, 10, 18, 12]",114,279.6,0,0,none,"[10, 8, 15, 15, 15, 15, 15, 15, 15, 12]",135,258.6,0,0,none,"[5, 15, 17, 12, 15, 0, 10, 10, 12, 10]",106,287.6,1,0
