model,game_id,treatment,language,personality_condition,society,n_players,n_periods,endowment,mpcr,mean_contribution,mean_contribution_by_period,antisocial_punishment_total,agent1_personality,agent1_contributions,agent1_total_contributed,agent1_total_earnings,agent1_contrib_fallbacks,agent1_punish_fallbacks,agent2_personality,agent2_contributions,agent2_total_contributed,agent2_total_earnings,agent2_contrib_fallbacks,agent2_punish_fallbacks,agent3_personality,agent3_contributions,agent3_total_contributed,agent3_total_earnings,agent3_contrib_fallbacks,agent3_punish_fallbacks,agent4_personality,agent4_contributions,agent4_total_contributed,agent4_total_earnings,agent4_contrib_fallbacks,agent4_punish_fallbacks
gemma2-9b-it,P_ar_neutral_0,P,ar,neutral,none,4,10,20,0.4,8.125,"[5.0, 3.75, 5.0, 6.75, 7.5, 8.75, 13.75, 6.75, 13.25, 10.75]",72.0,none,"[10, 15, 10, 0, 10, 15, 15, 15, 15, 10]",115,111.2,1,5,none,"[0, 0, 10, 5, 0, 10, 10, 0, 10, 18]",63,184.8,4,4,none,"[10, 0, 0, 10, 12, 0, 15, 12, 18, 15]",92,146.0,3,3,none,"[0, 0, 0, 12, 8, 10, 15, 0, 10, 0]",55,184.0,5,6
gemma2-9b-it,P_ar_neutral_1,P,ar,neutral,none,4,10,20,0.4,8.175,"[2.5, 4.25, 8.75, 7.5, 10.75, 11.75, 7.5, 13.25, 6.25, 9.25]",87.0,none,"[10, 0, 10, 0, 15, 10, 10, 5, 15, 12]",87,94.0,2,4,none,"[0, 0, 10, 15, 18, 10, 10, 18, 0, 10]",91,95.6,3,3,none,"[0, 5, 0, 0, 10, 12, 0, 15, 10, 15]",67,117.8,4,4,none,"[0, 12, 15, 15, 0, 15, 10, 15, 0, 0]",82,144.0,4,3
gemma2-9b-it,P_ar_neutral_2,P,ar,neutral,none,4,10,20,0.4,8.725,"[5.0, 10.0, 11.75, 6.75, 10.0, 7.5, 8.0, 12.5, 6.25, 9.5]",68.0,none,"[0, 15, 10, 12, 10, 10, 12, 10, 10, 15]",104,77.8,1,3,none,"[5, 0, 10, 0, 0, 15, 10, 15, 0, 15]",70,181.8,4,6,none,"[10, 15, 12, 15, 15, 5, 10, 15, 0, 0]",97,144.6,2,4,none,"[5, 10, 15, 0, 15, 0, 0, 10, 15, 8]",78,135.6,3,3
gemma2-9b-it,P_ar_neutral_3,P,ar,neutral,none,4,10,20,0.4,7.175,"[0.0, 6.25, 7.5, 14.0, 4.25, 10.0, 8.0, 5.0, 13.0, 3.75]",80.0,none,"[0, 0, 15, 18, 0, 20, 0, 10, 15, 0]",78,166.4,5,4,none,"[0, 10, 0, 10, 7, 0, 15, 0, 10, 15]",67,144.0,4,7,none,"[0, 5, 15, 10, 10, 15, 12, 0, 15, 0]",82,146.8,3,5,none,"[0, 10, 0, 18, 0, 5, 5, 10, 12, 0]",60,154.4,4,7
gemma2-9b-it,P_ar_neutral_4,P,ar,neutral,none,4,10,20,0.4,7.475,"[3.75, 3.75, 5.0, 3.0, 6.25, 12.5, 13.75, 7.5, 8.75, 10.5]",115.0,none,"[5, 0, 10, 0, 10, 15, 15, 10, 10, 10]",85,109.6,2,2,none,"[0, 0, 10, 0, 5, 15, 15, 10, 15, 10]",80,52.0,3,1,none,"[0, 0, 0, 12, 10, 10, 15, 10, 10, 10]",77,80.8,3,3,none,"[10, 15, 0, 0, 0, 10, 10, 0, 0, 12]",57,129.6,5,7
gemma2-9b-it,P_ar_neutral_5,P,ar,neutral,none,4,10,20,0.4,6.5,"[5.0, 2.5, 1.25, 3.75, 9.5, 6.25, 10.5, 6.25, 5.0, 15.0]",80.0,none,"[10, 0, 5, 0, 18, 15, 12, 10, 10, 20]",100,119.0,2,5,none,"[0, 10, 0, 15, 10, 10, 10, 15, 5, 15]",90,99.0,2,8,none,"[0, 0, 0, 0, 10, 0, 10, 0, 0, 15]",35,203.0,6,2,none,"[10, 0, 0, 0, 0, 0, 10, 0, 5, 10]",35,202.0,6,3
gemma2-9b-it,P_ar_neutral_6,P,ar,neutral,none,4,10,20,0.4,7.875,"[5.0, 2.5, 10.0, 8.75, 7.5, 7.0, 9.25, 11.25, 10.0, 7.5]",80.0,none,"[10, 10, 8, 15, 10, 10, 15, 15, 15, 0]",108,106.0,1,4,none,"[0, 0, 12, 10, 10, 0, 0, 10, 15, 10]",67,194.0,5,4,none,"[10, 0, 10, 0, 0, 18, 12, 10, 0, 10]",70,174.0,3,5,none,"[0, 0, 10, 10, 10, 0, 10, 10, 10, 10]",70,144.0,3,4
gemma2-9b-it,P_ar_neutral_7,P,ar,neutral,none,4,10,20,0.4,9.875,"[6.25, 10.0, 2.5, 8.75, 13.75, 11.25, 8.0, 13.75, 15.75, 8.75]",84.0,none,"[10, 15, 0, 0, 15, 10, 0, 15, 18, 10]",93,154.0,3,6,none,"[0, 10, 0, 10, 15, 10, 12, 15, 15, 15]",102,135.0,2,3,none,"[10, 15, 0, 10, 15, 10, 10, 15, 15, 0]",100,126.0,2,5,none,"[5, 0, 10, 15, 10, 15, 10, 10, 15, 10]",100,109.0,1,3
gemma2-9b-it,P_ar_neutral_8,P,ar,neutral,none,4,10,20,0.4,7.4,"[2.5, 6.25, 6.25, 6.25, 11.25, 5.0, 11.25, 6.25, 11.0, 8.0]",57.0,none,"[0, 5, 0, 5, 10, 10, 15, 15, 10, 0]",70,163.4,3,4,none,"[10, 10, 0, 10, 15, 10, 15, 0, 10, 10]",90,144.4,2,6,none,"[0, 0, 10, 10, 8, 0, 0, 0, 15, 10]",53,202.4,5,5,none,"[0, 10, 15, 0, 12, 0, 15, 10, 9, 12]",83,145.6,3,5
gemma2-9b-it,P_ar_neutral_9,P,ar,neutral,none,4,10,20,0.4,8.925,"[5.0, 14.25, 0.0, 6.25, 8.75, 9.5, 13.0, 11.25, 11.25, 10.0]",105.0,none,"[10, 15, 0, 0, 15, 10, 15, 15, 10, 10]",100,117.8,2,4,none,"[0, 20, 0, 15, 10, 10, 10, 5, 10, 10]",90,140.0,2,5,none,"[10, 10, 0, 0, 0, 0, 15, 10, 10, 10]",65,157.0,4,4,none,"[0, 12, 0, 10, 10, 18, 12, 15, 15, 10]",102,123.6,3,3
