model,game_id,treatment,language,personality_condition,society,n_players,n_periods,endowment,mpcr,mean_contribution,mean_contribution_by_period,antisocial_punishment_total,agent1_personality,agent1_contributions,agent1_total_contributed,agent1_total_earnings,agent1_contrib_fallbacks,agent1_punish_fallbacks,agent2_personality,agent2_contributions,agent2_total_contributed,agent2_total_earnings,agent2_contrib_fallbacks,agent2_punish_fallbacks,agent3_personality,agent3_contributions,agent3_total_contributed,agent3_total_earnings,agent3_contrib_fallbacks,agent3_punish_fallbacks,agent4_personality,agent4_contributions,agent4_total_contributed,agent4_total_earnings,agent4_contrib_fallbacks,agent4_punish_fallbacks
gemma2-9b-it,P_vn_neutral_0,P,vn,neutral,none,4,10,20,0.4,10.925,"[6.25, 9.25, 10.25, 11.75, 11.75, 12.5, 12.0, 10.75, 11.25, 13.5]",176.0,none,"[5, 15, 5, 10, 12, 10, 15, 18, 0, 10]",100,84.6,0,0,none,"[5, 7, 12, 12, 10, 15, 18, 10, 20, 19]",128,37.6,0,0,none,"[5, 5, 12, 10, 15, 10, 10, 10, 10, 15]",102,79.6,0,0,none,"[10, 10, 12, 15, 10, 15, 5, 5, 15, 10]",107,18.0,0,0
gemma2-9b-it,P_vn_neutral_1,P,vn,neutral,none,4,10,20,0.4,9.7,"[6.5, 8.0, 10.25, 9.75, 11.25, 12.0, 6.25, 12.5, 8.25, 12.25]",208.0,none,"[8, 10, 8, 15, 10, 10, 10, 10, 15, 15]",111,29.4,0,0,none,"[8, 10, 8, 10, 10, 10, 5, 5, 8, 0]",74,11.0,0,0,none,"[5, 10, 15, 12, 15, 18, 0, 20, 0, 19]",114,7.0,0,0,none,"[5, 2, 10, 2, 10, 10, 10, 15, 10, 15]",89,9.6,0,0
gemma2-9b-it,P_vn_neutral_2,P,vn,neutral,none,4,10,20,0.4,11.8,"[7.5, 9.5, 13.75, 14.25, 11.75, 10.0, 11.75, 12.5, 10.75, 16.25]",208.0,none,"[5, 10, 15, 12, 15, 10, 10, 18, 10, 15]",120,16.2,0,0,none,"[10, 8, 12, 15, 15, 10, 12, 10, 0, 20]",112,50.6,0,0,none,"[10, 10, 16, 15, 12, 10, 10, 12, 15, 10]",120,71.2,0,0,none,"[5, 10, 12, 15, 5, 10, 15, 10, 18, 20]",120,14.0,0,0
gemma2-9b-it,P_vn_neutral_3,P,vn,neutral,none,4,10,20,0.4,10.25,"[10.5, 6.5, 8.75, 11.75, 11.25, 12.0, 11.75, 13.75, 8.75, 7.5]",210.0,none,"[20, 0, 5, 10, 10, 15, 10, 10, 20, 10]",110,59.0,1,0,none,"[5, 3, 10, 10, 10, 10, 15, 10, 0, 10]",83,36.2,0,1,none,"[5, 8, 10, 15, 10, 15, 10, 20, 0, 0]",93,46.6,0,0,none,"[12, 15, 10, 12, 15, 8, 12, 15, 15, 10]",124,32.4,0,0
gemma2-9b-it,P_vn_neutral_4,P,vn,neutral,none,4,10,20,0.4,11.125,"[7.5, 6.25, 14.25, 10.5, 14.0, 12.5, 13.25, 11.75, 12.5, 8.75]",206.0,none,"[10, 10, 15, 10, 12, 15, 18, 15, 15, 10]",130,33.6,0,0,none,"[5, 10, 12, 10, 20, 10, 15, 10, 10, 5]",107,62.8,0,0,none,"[10, 5, 15, 12, 12, 10, 8, 10, 15, 0]",97,56.0,0,0,none,"[5, 0, 15, 10, 12, 15, 12, 12, 10, 20]",111,41.0,1,2
gemma2-9b-it,P_vn_neutral_5,P,vn,neutral,none,4,10,20,0.4,10.375,"[3.75, 11.25, 10.5, 11.0, 8.75, 9.5, 12.25, 11.25, 13.0, 12.5]",236.0,none,"[5, 10, 10, 12, 0, 15, 12, 15, 20, 10]",109,52.4,0,0,none,"[0, 10, 10, 10, 15, 10, 15, 10, 15, 15]",110,40.8,1,1,none,"[5, 15, 10, 12, 10, 8, 10, 10, 5, 10]",95,28.8,0,0,none,"[5, 10, 12, 10, 10, 5, 12, 10, 12, 15]",101,30.0,0,0
gemma2-9b-it,P_vn_neutral_6,P,vn,neutral,none,4,10,20,0.4,9.9,"[7.5, 8.25, 10.0, 9.5, 7.75, 10.0, 10.5, 7.5, 13.75, 14.25]",198.0,none,"[10, 3, 18, 8, 12, 15, 10, 10, 5, 10]",101,48.2,0,0,none,"[5, 12, 12, 10, 8, 10, 10, 15, 20, 12]",114,27.0,0,0,none,"[5, 8, 10, 10, 10, 10, 20, 0, 20, 20]",113,21.2,0,0,none,"[10, 10, 0, 10, 1, 5, 2, 5, 10, 15]",68,49.2,0,0
gemma2-9b-it,P_vn_neutral_7,P,vn,neutral,none,4,10,20,0.4,11.025,"[6.25, 10.75, 11.0, 13.0, 10.0, 11.25, 12.0, 11.75, 12.5, 11.75]",218.0,none,"[0, 10, 8, 12, 10, 10, 15, 10, 0, 12]",87,36.4,1,0,none,"[10, 10, 18, 15, 12, 10, 8, 12, 10, 15]",120,12.2,0,0,none,"[5, 15, 10, 5, 10, 15, 15, 15, 20, 10]",120,49.2,0,0,none,"[10, 8, 8, 20, 8, 10, 10, 10, 20, 10]",114,8.2,0,0
gemma2-9b-it,P_vn_neutral_8,P,vn,neutral,none,4,10,20,0.4,10.65,"[6.25, 10.0, 11.25, 11.25, 12.5, 10.5, 8.75, 10.5, 16.5, 9.0]",173.0,none,"[5, 10, 10, 10, 10, 12, 10, 5, 15, 15]",102,70.2,0,0,none,"[10, 10, 10, 10, 15, 10, 5, 15, 19, 1]",105,0.0,0,1,none,"[5, 15, 10, 15, 10, 10, 10, 12, 12, 15]",114,31.2,0,0,none,"[5, 5, 15, 10, 15, 10, 10, 10, 20, 5]",105,72.8,0,0
gemma2-9b-it,P_vn_neutral_9,P,vn,neutral,none,4,10,20,0.4,11.525,"[7.75, 13.0, 14.25, 13.0, 11.75, 12.0, 10.25, 8.75, 7.0, 17.5]",175.0,none,"[10, 12, 12, 13, 15, 12, 15, 10, 0, 15]",114,94.2,0,1,none,"[8, 15, 18, 12, 10, 12, 0, 10, 10, 20]",115,61.6,0,0,none,"[5, 15, 15, 12, 10, 12, 8, 5, 0, 15]",97,85.6,0,0,none,"[8, 10, 12, 15, 12, 12, 18, 10, 18, 20]",135,81.8,0,0
