model,game_id,treatment,language,personality_condition,society,n_players,n_periods,endowment,mpcr,mean_contribution,mean_contribution_by_period,antisocial_punishment_total,agent1_personality,agent1_contributions,agent1_total_contributed,agent1_total_earnings,agent1_contrib_fallbacks,agent1_punish_fallbacks,agent2_personality,agent2_contributions,agent2_total_contributed,agent2_total_earnings,agent2_contrib_fallbacks,agent2_punish_fallbacks,agent3_personality,agent3_contributions,agent3_total_contributed,agent3_total_earnings,agent3_contrib_fallbacks,agent3_punish_fallbacks,agent4_personality,agent4_contributions,agent4_total_contributed,agent4_total_earnings,agent4_contrib_fallbacks,agent4_punish_fallbacks
llama-3-1-8b,N_cn_neutral_0,N,cn,neutral,none,4,10,20,0.4,9.975,"[7.25, 7.75, 13.5, 7.75, 7.0, 7.0, 11.75, 10.5, 15.0, 12.25]",0.0,none,"[2, 7, 10, 12, 15, 5, 12, 7, 20, 12]",102,257.6,0,0,none,"[16, 7, 20, 10, 3, 14, 12, 17, 17, 19]",135,224.6,1,0,none,"[6, 2, 14, 4, 9, 4, 13, 3, 8, 10]",73,286.6,0,0,none,"[5, 15, 10, 5, 1, 5, 10, 15, 15, 8]",89,270.6,0,0
llama-3-1-8b,N_cn_neutral_1,N,cn,neutral,none,4,10,20,0.4,10.55,"[8.5, 7.25, 9.0, 12.0, 7.25, 11.75, 13.0, 12.0, 14.5, 10.25]",0.0,none,"[5, 17, 16, 0, 13, 10, 17, 3, 17, 14]",112,256.8,0,0,none,"[20, 2, 6, 16, 2, 18, 8, 13, 16, 11]",112,256.8,0,0,none,"[4, 10, 5, 12, 4, 5, 13, 12, 8, 14]",87,281.8,0,0,none,"[5, 0, 9, 20, 10, 14, 14, 20, 17, 2]",111,257.8,0,0
llama-3-1-8b,N_cn_neutral_2,N,cn,neutral,none,4,10,20,0.4,11.1,"[7.0, 11.0, 15.0, 6.25, 11.0, 9.5, 10.25, 12.75, 13.5, 14.75]",0.0,none,"[10, 12, 20, 2, 13, 0, 20, 20, 11, 15]",123,254.6,0,0,none,"[10, 12, 16, 13, 1, 4, 5, 0, 12, 10]",83,294.6,1,0,none,"[3, 10, 14, 10, 10, 19, 8, 20, 14, 17]",125,252.6,0,0,none,"[5, 10, 10, 0, 20, 15, 8, 11, 17, 17]",113,264.6,0,0
llama-3-1-8b,N_cn_neutral_3,N,cn,neutral,none,4,10,20,0.4,11.05,"[10.0, 6.0, 8.5, 13.25, 10.75, 9.25, 9.75, 15.0, 13.75, 14.25]",0.0,none,"[10, 4, 9, 11, 12, 5, 6, 13, 13, 14]",97,279.8,0,0,none,"[10, 5, 13, 14, 12, 12, 14, 19, 14, 14]",127,249.8,0,0,none,"[20, 4, 11, 10, 6, 5, 7, 18, 16, 17]",114,262.8,0,0,none,"[0, 11, 1, 18, 13, 15, 12, 10, 12, 12]",104,272.8,0,0
llama-3-1-8b,N_cn_neutral_4,N,cn,neutral,none,4,10,20,0.4,11.925,"[9.25, 12.25, 7.0, 11.0, 10.75, 14.0, 12.0, 15.75, 16.25, 11.0]",0.0,none,"[10, 12, 13, 4, 1, 9, 18, 19, 20, 14]",120,270.8,0,0,none,"[16, 11, 10, 11, 20, 12, 8, 20, 20, 15]",143,247.8,0,0,none,"[10, 10, 5, 15, 8, 18, 12, 12, 18, 14]",122,268.8,0,0,none,"[1, 16, 0, 14, 14, 17, 10, 12, 7, 1]",92,298.8,0,0
llama-3-1-8b,N_cn_neutral_5,N,cn,neutral,none,4,10,20,0.4,9.375,"[8.0, 10.5, 11.75, 10.25, 10.5, 6.0, 14.5, 8.25, 7.0, 7.0]",0.0,none,"[0, 10, 17, 14, 15, 12, 14, 10, 3, 9]",104,246.0,0,0,none,"[9, 17, 13, 14, 12, 2, 19, 8, 16, 0]",110,240.0,0,0,none,"[10, 0, 3, 5, 3, 5, 10, 10, 4, 8]",58,292.0,0,0,none,"[13, 15, 14, 8, 12, 5, 15, 5, 5, 11]",103,247.0,0,0
llama-3-1-8b,N_cn_neutral_6,N,cn,neutral,none,4,10,20,0.4,10.55,"[8.25, 11.0, 13.25, 9.25, 6.75, 15.0, 9.25, 9.25, 12.75, 10.75]",0.0,none,"[5, 15, 20, 10, 5, 12, 16, 14, 15, 14]",126,242.8,0,0,none,"[20, 5, 11, 16, 8, 10, 10, 9, 20, 7]",116,252.8,0,0,none,"[4, 12, 7, 1, 1, 18, 5, 0, 11, 4]",63,305.8,0,0,none,"[4, 12, 15, 10, 13, 20, 6, 14, 5, 18]",117,251.8,0,0
llama-3-1-8b,N_cn_neutral_7,N,cn,neutral,none,4,10,20,0.4,12.0,"[15.75, 11.75, 9.75, 11.25, 13.25, 9.0, 14.75, 12.0, 13.0, 9.5]",0.0,none,"[8, 14, 12, 19, 20, 0, 13, 14, 10, 12]",122,270.0,0,0,none,"[19, 18, 12, 15, 7, 13, 18, 13, 15, 2]",132,260.0,0,0,none,"[20, 5, 14, 1, 14, 10, 13, 7, 14, 17]",115,277.0,0,0,none,"[16, 10, 1, 10, 12, 13, 15, 14, 13, 7]",111,281.0,0,0
llama-3-1-8b,N_cn_neutral_8,N,cn,neutral,none,4,10,20,0.4,9.85,"[9.75, 12.5, 10.75, 8.75, 6.0, 14.0, 8.25, 10.0, 10.0, 8.5]",0.0,none,"[2, 16, 10, 12, 12, 15, 8, 11, 8, 13]",107,250.6,0,0,none,"[19, 7, 10, 12, 11, 8, 17, 13, 11, 0]",108,249.6,0,0,none,"[1, 12, 13, 1, 1, 19, 8, 10, 16, 16]",97,260.6,0,0,none,"[17, 15, 10, 10, 0, 14, 0, 6, 5, 5]",82,275.6,0,0
llama-3-1-8b,N_cn_neutral_9,N,cn,neutral,none,4,10,20,0.4,11.2,"[13.0, 12.75, 10.75, 11.25, 5.75, 12.75, 13.25, 8.75, 11.5, 12.25]",0.0,none,"[10, 13, 1, 1, 0, 8, 12, 4, 18, 18]",85,294.2,0,0,none,"[10, 13, 12, 18, 10, 13, 17, 14, 15, 15]",137,242.2,0,0,none,"[13, 10, 14, 14, 5, 11, 10, 5, 1, 12]",95,284.2,0,0,none,"[19, 15, 16, 12, 8, 19, 14, 12, 12, 4]",131,248.2,0,0
