model,game_id,treatment,language,personality_condition,society,n_players,n_periods,endowment,mpcr,mean_contribution,mean_contribution_by_period,antisocial_punishment_total,agent1_personality,agent1_contributions,agent1_total_contributed,agent1_total_earnings,agent1_contrib_fallbacks,agent1_punish_fallbacks,agent2_personality,agent2_contributions,agent2_total_contributed,agent2_total_earnings,agent2_contrib_fallbacks,agent2_punish_fallbacks,agent3_personality,agent3_contributions,agent3_total_contributed,agent3_total_earnings,agent3_contrib_fallbacks,agent3_punish_fallbacks,agent4_personality,agent4_contributions,agent4_total_contributed,agent4_total_earnings,agent4_contrib_fallbacks,agent4_punish_fallbacks
llama-3-1-8b,P_cn_neutral_0,P,cn,neutral,none,4,10,20,0.4,9.575,"[10.75, 11.25, 10.5, 10.0, 6.5, 7.5, 14.5, 7.75, 10.75, 6.25]",150.0,none,"[10, 4, 0, 15, 14, 8, 6, 11, 13, 8]",89,60.0,1,4,none,"[10, 20, 4, 0, 7, 16, 18, 9, 13, 10]",107,74.2,0,2,none,"[15, 8, 20, 12, 0, 5, 15, 5, 10, 6]",96,58.4,0,0,none,"[8, 13, 18, 13, 5, 1, 19, 6, 7, 1]",91,71.6,0,3
llama-3-1-8b,P_cn_neutral_1,P,cn,neutral,none,4,10,20,0.4,9.75,"[4.0, 10.25, 10.5, 5.25, 10.5, 11.5, 12.25, 13.0, 9.0, 11.25]",196.0,none,"[8, 4, 12, 0, 0, 1, 10, 12, 10, 6]",63,13.4,0,1,none,"[0, 4, 4, 2, 17, 14, 20, 20, 13, 20]",114,11.4,0,2,none,"[0, 16, 12, 5, 13, 16, 14, 20, 8, 3]",107,37.0,0,2,none,"[8, 17, 14, 14, 12, 15, 5, 0, 5, 16]",106,7.6,1,1
llama-3-1-8b,P_cn_neutral_2,P,cn,neutral,none,4,10,20,0.4,10.1,"[7.0, 15.25, 9.5, 11.5, 7.5, 14.0, 8.0, 9.0, 10.5, 8.75]",172.0,none,"[1, 7, 4, 5, 8, 12, 10, 10, 10, 12]",79,46.2,0,1,none,"[8, 20, 20, 9, 7, 20, 8, 14, 4, 5]",115,55.0,0,1,none,"[14, 16, 10, 12, 15, 14, 4, 0, 15, 5]",105,57.6,0,4,none,"[5, 18, 4, 20, 0, 10, 10, 12, 13, 13]",105,35.2,0,1
llama-3-1-8b,P_cn_neutral_3,P,cn,neutral,none,4,10,20,0.4,9.975,"[6.5, 8.25, 7.25, 12.0, 10.75, 10.75, 15.5, 7.5, 11.25, 10.0]",153.0,none,"[20, 10, 11, 11, 10, 0, 20, 1, 15, 6]",104,54.2,1,1,none,"[0, 9, 13, 20, 5, 19, 20, 15, 2, 7]",110,44.6,0,2,none,"[6, 4, 5, 3, 13, 10, 6, 14, 10, 15]",86,35.8,0,0,none,"[0, 10, 0, 14, 15, 14, 16, 0, 18, 12]",99,26.2,0,2
llama-3-1-8b,P_cn_neutral_4,P,cn,neutral,none,4,10,20,0.4,9.45,"[10.0, 9.25, 7.75, 8.0, 6.0, 10.25, 7.0, 11.5, 15.0, 9.75]",145.0,none,"[10, 18, 10, 13, 1, 12, 12, 20, 12, 12]",120,44.0,0,2,none,"[20, 4, 14, 12, 14, 5, 1, 14, 12, 6]",102,66.0,0,2,none,"[0, 10, 4, 0, 1, 13, 9, 1, 16, 15]",69,38.2,1,2,none,"[10, 5, 3, 7, 8, 11, 6, 11, 20, 6]",87,55.0,0,1
llama-3-1-8b,P_cn_neutral_5,P,cn,neutral,none,4,10,20,0.4,10.05,"[8.0, 14.0, 11.5, 6.5, 13.25, 10.75, 9.25, 8.25, 10.5, 8.5]",120.0,none,"[15, 13, 9, 0, 10, 7, 8, 14, 14, 15]",105,41.0,0,1,none,"[0, 17, 15, 12, 15, 11, 11, 0, 10, 8]",99,70.2,0,0,none,"[10, 16, 12, 4, 18, 12, 5, 14, 18, 10]",119,43.2,0,1,none,"[7, 10, 10, 10, 10, 13, 13, 5, 0, 1]",79,64.4,0,1
llama-3-1-8b,P_cn_neutral_6,P,cn,neutral,none,4,10,20,0.4,8.25,"[8.0, 7.25, 5.5, 9.0, 9.25, 6.0, 8.5, 11.5, 9.75, 7.75]",157.0,none,"[12, 10, 15, 1, 5, 0, 6, 10, 16, 5]",80,68.8,0,0,none,"[6, 4, 5, 9, 5, 13, 1, 10, 16, 5]",74,48.4,0,1,none,"[10, 7, 0, 12, 12, 6, 13, 12, 6, 18]",96,47.4,0,2,none,"[4, 8, 2, 14, 15, 5, 14, 14, 1, 3]",80,43.8,0,3
llama-3-1-8b,P_cn_neutral_7,P,cn,neutral,none,4,10,20,0.4,8.55,"[10.0, 8.25, 5.0, 5.25, 9.25, 9.25, 10.25, 9.25, 7.0, 12.0]",157.0,none,"[15, 12, 1, 11, 14, 1, 10, 6, 3, 10]",83,58.4,0,0,none,"[10, 9, 8, 0, 5, 12, 12, 13, 14, 10]",93,41.2,0,4,none,"[10, 4, 7, 5, 4, 6, 6, 9, 0, 16]",67,65.4,0,1,none,"[5, 8, 4, 5, 14, 18, 13, 9, 11, 12]",99,55.6,0,1
llama-3-1-8b,P_cn_neutral_8,P,cn,neutral,none,4,10,20,0.4,8.1,"[7.5, 11.25, 8.0, 9.5, 7.75, 4.5, 7.75, 9.0, 5.5, 10.25]",175.0,none,"[10, 10, 0, 12, 6, 5, 0, 5, 6, 5]",59,32.8,0,0,none,"[4, 8, 15, 6, 1, 0, 10, 18, 5, 12]",79,18.0,0,1,none,"[16, 15, 4, 10, 10, 5, 18, 5, 11, 10]",104,32.8,0,4,none,"[0, 12, 13, 10, 14, 8, 3, 8, 0, 14]",82,53.4,0,1
llama-3-1-8b,P_cn_neutral_9,P,cn,neutral,none,4,10,20,0.4,7.6,"[7.25, 3.75, 5.25, 12.25, 9.75, 9.75, 8.25, 7.25, 6.5, 6.0]",162.0,none,"[10, 6, 10, 11, 6, 6, 5, 0, 11, 9]",74,37.8,0,0,none,"[13, 4, 4, 15, 16, 12, 4, 4, 10, 4]",86,3.6,0,0,none,"[2, 5, 6, 8, 15, 14, 19, 12, 4, 6]",91,30.0,0,0,none,"[4, 0, 1, 15, 2, 7, 5, 13, 1, 5]",53,72.2,0,1
